;Lipidio;PontoFusao;Perc_Ac_Palmítico;Perc_Ac_Estearico;Perc_Ac_Oleico;Perc_Ac_Linoleico;Perc_Ac_Vacenico;Perc_Ac_Linolenico;Perc_Ac_Caprilico;Perc_Ac_Caprico;Perc_Ac_Laurico;Perc_Ac_Miristico;Perc_Ac_Palmitoleico;Perc_Ac_Beenico;Perc_Ac_Valerico;Perc_Ac_Araquidico;Perc_Outros;Perc_AG_Saturados;Perc_AG_Insaturados
0;Manteiga de Tucumã;30.0;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;;0;97;3
1;Óleo de Tucumã;20.0;25,5;2,5;64;2;1,5;3;0;0;0;0;0;0;0;;0;27;73
2;Óleo de Pequi;21.0;38,5;0;55,5;1,9;0;0,3;0;0;0;0;1;0;0;;0;42;58
3;Manteiga de cupuaçu;27.0;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;;3;55;45
4;Óleo de urucum;0.0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;;0;14;86
5;Óleo de Açaí;4.0;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;;0;28;72
6;Manteiga de murumuru;32.5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;;0;90;10
7;Manteiga de cacau;35.5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;;0;72,66;27,33
8;Óleo de Buriti;26.5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;;0;22;78
9;Manteiga de Ucuuba;53.0;8;0;0;0;0;0;0;0;18;74;0;0;0;;0;100;0
10;Óleo de Jambu;23.0;12,5;0;25;35;0;0;0;0;0;0;0;0;0;;0;0;0
11;Manteiga de Manga;35.5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;;2,5;0;50,25;50,5
12;Óleo de andiroba;22.0;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;;;;40;60
13;Manteiga de Bacuri ;35.0;71;0;24,5;0;0;0;0;0;0;0;5;0;0;0;0;75;25
14;Óleo de Pracaxi ;18.5;2,25;2,25;50;12,5;0;0;0;1,5;0;0;0;17;0;2;11;35;65
15;Óleo de Bacaba;6.0;14;5,5;57,5;11,5;0;0;0;0;0;0;4,25;8;0;0;0;33;67
16;Óleo de Maracujá;5.0;10;2;15,5;73,5;0;1,25;0;0;0;0;0;0;0;0;0;16;84
17;Óleo de Goiaba;15.0;9;6;15;67,5;0;0;0;0;1,5;1;0;0;0;0;0;14;86
18;Óleo de Babaçu ;24.0;7;4;14;2;0;0;5;7;45;17;0;0;0;0;0;85;15
19;Óleo de Castanha do Pará ;4.0;18;11;40,5;35,5;0;0;0;0;0;0;1,35;0;0;0;5;25;75
20;Óleo de Graviola ;15.0;22,5;5;41,5;27,5;0;2;0;0;0;0,5;2,5;0;0;0;0;30;70
21;Óleo de Palma ;36.5;40,7;5;42;10;0;0,5;1;1;1;1;0,5;0;0;0,5;0;47,8;52,2
